Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
Tabasco,3.2139315756,19.8141583937,76.7370644139,35.381725114,81.0344827586,82.0512820513,55.4140127389,60.9589041096,30.6329113924,26.2811277298,79.3293461681,18.3014367963,100,44.9152542373,9.8459934708,30.5630463027,7.5556109514,2.6405162992,8.5930103322,35.1655264606,58.0045496395,1.7793594306,44.0212185957,51.6629241497,72.7187640919,59.9478701632,82.3491573342,0,60.1519195237,19.4444444444,63.7362637363,62.2047244094,58.174904943,14.4944836706,51.2888377445,5.6591825878,97.9430439744,94.3099498693,9.5803281251,97.7762334955,54.7555077915,0,81.3455657492,32.5409582056,48.7167956514,39.7615344738,12.5751461064,47.5,#DIV/0!,11.3740282702,21.6268451264,18.2240409299,3.8341849963,17.0529897972,6.8128425998,9.4224249657,17.8929181882,13.8235386884,4.0712443924,98.6658932715,6.3886150849,10.0111542281,15.4471544715,24.0220791451,9.7447469577,26.9213237705,11.4716495848,9.7994995529,11.3690548349,81.9008350083,88.85150625,99.4750526751,45.6127305175,65.6254101588,93.2262329605,17.6710542275,35.7748626181,0,668.4666695439,99.8175945108,0.1580998431,5.5717795564,0.8455631775,14.9398390401,2.2669335717,60.9666820797,35.1234264852,12.0858575335,19.4183036834,2.8337933182
Tamaulipas,12.167442479,47.5320520203,52.8563885956,52.0858086847,64.367816092,64.1025641026,32.4840764331,58.904109589,44.8734177215,40.0592020052,68.4650355233,2.7316633924,0,62.7118644068,9.6633230876,27.1462809934,2.3514615938,31.4220289528,26.8101922364,49.4377888662,72.3849829583,86.4768683274,65.1182494659,65.031946111,78.6574807284,40.5319061111,86.5360205654,62.0085370327,28.9673578321,46.6666666667,86.2637362637,61.4173228346,49.0494296578,13.5600565944,72.2784810127,10.0408053241,71.7643190531,88.6503806994,90.7571632852,88.5337039611,68.9951638904,0,46.5137614679,3.1587030283,58.969290556,74.4427164334,9.3133875874,65,#DIV/0!,43.882766243,47.9246197691,28.4219636803,100,59.8926890651,22.3962411903,9.025919793,37.3174856425,25.1939524334,13.0548541518,98.5498839907,32.8076228663,12.4622855955,16.2601626016,27.6499668069,70.0341723336,1.271301969,34.5488585572,16.7568535838,17.5519039776,55.3798599476,91.27815,99.0989493359,56.6627007733,56.2541015881,67.7658952052,17.6710542275,66.650679934,0,311.6189791733,99.8504851246,5.6996694305,11.2840605146,55.2047949031,9.4424860002,19.8390860249,35.9180657485,58.6756853777,11.4105209509,21.8405510688,3.0843135886
Tlaxcala,0.3893953595,12.9169381559,78.2365364308,85.0496376548,0,0,13.3757961783,66.4383561644,87.7848101266,8.6368608708,82.2781023155,12.5393563036,47.0219304361,99.1525423729,3.513832982,41.7338484865,0.6384831266,29.6040263102,7.7378257111,87.7933862665,48.8673599066,82.206405694,85.5374640831,1.6895190222,0,42.2803094221,43.2625230122,59.6007908323,30.5481420653,33.3333333333,72.5274725275,50.7874015748,44.1064638783,16.1589107296,82.6352128884,8.3631719311,100,100,18.6068214927,74.0590463808,100,0,82.874617737,98.1581254823,62.9987073175,26.8532918611,6.6207850119,55,#DIV/0!,29.1190447359,30.9940169824,1.4448943542,18.6755213363,79.511544703,5.2466718872,24.0316185166,17.2513402807,19.8854176672,9.1586729129,100,34.7415340774,0,0,27.6134044865,26.8708890172,11.391854129,5.4883679143,11.2881097272,0,39.7540378881,90.3074925,99.5999364094,14.1731112433,62.5016406353,76.0952666869,0,127.7085691908,55.8069280701,556.4330923345,99.3895622035,0,9.4751888541,7.5629806422,30.3169811912,2.510310903,30.4994031112,59.8038094157,0,15.9609623751,4.1880090103
Veracruz,15.4186175087,18.2021840612,87.6979936642,64.4991520966,15.5172413793,46.1538461538,46.4968152866,0,61.2658227848,18.8938773949,84.0438443941,11.7796233882,100,0,10.9021906296,23.8738472216,6.1465911837,14.7946942437,28.4619026057,36.9265852019,54.1728205097,0,16.9896117292,42.0009745365,48.4509436225,33.1973566537,42.966059788,40.862344308,20.7554916855,47.7272727273,36.8131868132,63.7795275591,49.0494296578,28.9780225074,65.7422324511,2.6241824397,65.2856395433,76.7273377966,31.0976861085,82.9742876998,50.5642127888,0,73.0886850153,100,33.5629775915,28.1493001555,14.8508859699,25,#DIV/0!,22.8651777195,100,27.8413920132,7.9075501929,11.5468912422,8.692247455,0,14.8749470477,23.478103922,16.5999956039,99.5939675174,0,5.013044012,10.5691056911,22.1544425457,7.2367036146,20.6234425214,8.2481988801,16.9215021152,19.5773491427,82.6039042352,100,100,48.1558596074,59.3778711117,70.2757386739,17.6710542275,68.7038404336,0,531.5367418435,99.6358072889,1.1142759103,8.6729020495,5.7008354796,0.6268830313,3.9598994101,25.1305692877,64.8169421603,3.4406712595,10.5717666573,5.3772445174
Yucatán,3.8929933311,19.1652960941,31.6578669483,80.5086809699,59.7701149425,94.8717948718,64.6496815287,76.0273972603,98.0379746835,50.1848252622,100,11.4282664853,100,94.0677966102,9.1047024417,4.6534237984,0,5.2008363815,1.0692380521,60.2144998127,60.402992256,87.1886120996,58.6974139836,17.9222953672,47.5665699175,43.1658735854,57.461220834,83.1335618282,31.3693286799,46.6666666667,52.7472527473,40.157480315,5.3231939163,13.2657264135,62.0483314154,0.972174991,68.8767926309,83.9339355348,47.9910305989,87.4913134121,83.8259000537,0,97.5535168196,41.4168520364,17.1815261909,41.2130637636,0,35,#DIV/0!,33.5499215053,27.8762715827,4.4861585145,36.8306625713,50.8158846235,10.5716523101,29.0478562231,29.9925148741,30.2002735583,15.2039673667,99.7099767981,100,12.6175483943,14.6341463415,34.1955581095,11.3460500638,43.999743866,22.8026827111,27.7820005829,14.1841647551,64.0589498034,92.2488075,99.4623464812,60.0535395598,71.8729492059,87.2164644174,55.7323445157,84.2473649635,0,295.0214121793,99.7621042577,3.9373844506,12.2565595555,8.0206731148,2.0897830629,15.9047797071,16.9001345886,75.8461050464,21.9484222481,5.4305297621,19.4932258
Zacatecas,0.8693995086,25.5436792513,86.626187962,76.5331583815,100,100,94.5859872611,67.8082191781,93.9240506329,46.7194139469,70.6918659728,2.1985183305,61.7637167241,99.1525423729,0.0102518464,13.7225195791,0.365469655,70.3789826074,2.2578520561,36.9024472008,25.831957264,79.7153024911,74.8876445885,48.9675902932,43.9010027488,34.8584193281,36.0532333097,36.9536046767,41.3056867173,58.3333333333,72.5274725275,27.1653543307,42.9657794677,6.4009132975,78.3659378596,50.0588480844,70.2096024972,85.306263261,100,92.2168172342,81.6227834498,0,51.376146789,41.7722287433,67.4390810101,41.1612234318,6.2639783422,27.5,#DIV/0!,43.1396977559,42.5693280365,5.2360955003,61.9483299823,35.7474740517,6.1080657792,12.3765134128,27.5175400824,29.8773286976,5.7176807977,98.4918793503,6.267585691,5.6881814485,5.6910569106,18.1932307945,28.2377528731,38.9486676911,17.5118811595,10.9887815606,3.7306407128,59.6216698608,95.3999275,99.7378893717,57.51041047,74.9967187295,90.1326246754,0,38.7333697453,79.1623006887,270.1250616883,99.8599319933,0.2314537619,10.3377838178,5.5759028446,0.9571881345,10.0485758657,14.6159382061,65.5507482661,0,2.7185801819,8.1277536525
Aguascalientes,2.8235916218,44.0331871089,48.2911697064,79.5410520042,72.4137931034,96.1352657005,100,75.3424657534,8.164556962,74.1839274749,98.4476609892,48.7719419692,61.7637167241,98.8235294118,5.9099644798,36.5702386394,0.1977416871,68.8684407059,25.7732051884,100,34.3120036779,98.6531986532,68.3275261324,78.5045133966,67.8496927289,73.2902008285,51.2226987166,62.0960578009,44.816259495,66.6666666667,87.9120879121,62.9807692308,26.6331658291,26.5771980801,81.4039125432,29.811264005,90.4599731328,70.1173179598,45.4926506812,74.0831295844,58.7209302326,0,48.487654321,10.7653337501,97.4803228774,54.5360290306,11.1936091588,63.4146341463,#DIV/0!,60.7875399873,64.7607361638,37.9607962039,32.7308286315,33.3251931099,29.0686735654,30.4762245985,60.9821112543,30.2179652765,17.5409611211,99.9571662889,0.00056426,9.0466300442,5.1724137931,22.8378208238,100,30.6990756652,26.089030456,72.5707154877,50.0177777778,71.1893899484,96.6097325,99.850066912,54.2088042832,90.6286914293,82.3364999453,56.4815191132,38.1129530779,100,31908.6486735532,99.7899584374,0.2622916561,8.6546653875,62.2614056023,20.7860163596,20.7129694294,30.5460019387,59.1281973174,31.105890482,14.0817623632,8.3755885246
Baja California,11.7505163128,41.315769067,0,35.6727760393,71.8390804598,81.1594202899,65.6050955414,98.6301369863,61.2658227848,21.2239501517,18.5651738091,23.6484832518,32.6865213178,95.2941176471,56.6497916538,5.906540054,0.3344362225,54.5241635032,35.3443292264,95.7656301146,76.8413054438,89.898989899,91.275261324,96.457211294,100,24.5799144651,94.888128198,54.3186911348,32.436871279,35.8974358974,100,62.9807692308,13.567839196,25.2567263139,71.2888377445,17.3759522149,87.8552687104,63.4877684401,58.3760991437,62.2656886716,38.9534883721,0,0,31.5483187364,100,95.9046137895,42.3806195624,68.2926829268,#DIV/0!,76.9840761073,36.8718859789,23.6563978501,17.1284356836,73.3602636907,41.6745061148,59.0851402674,68.2118081844,36.3269529909,25.5383484254,28.2482598608,0.001513709,17.3766633328,30.1724137931,21.0708347959,49.307748333,5.6163807999,47.2167798671,31.1418783099,19.6621753837,11.5283139247,86.4248625,99.4249539678,50.8923259964,78.1204882531,73.2510546166,25.3049663168,99.700464987,0,37210.0901191454,99.8907527191,11.6762546731,19.0811715426,99.2992935427,42.4220605529,32.5517570733,24.6917571569,67.14679197,4.4197007094,26.8706612455,23.5821885027
Baja California Sur,0.5635031508,48.8807740172,53.960528427,75.4284011325,26.4367816092,14.9758454106,63.0573248408,36.301369863,100,3.7135127594,72.3142231595,1.0149326772,32.6865213178,100,26.7837436283,16.6296626074,0.499153779,58.9083101261,7.2217003288,77.6373626374,80.8460365365,63.9730639731,89.7456445993,79.5958627347,92.5801706688,82.6354670295,76.663355865,46.5692187932,31.430917676,0,90.6593406593,99.5192307692,10.0502512563,22.3659941346,86.6052934407,2.6281850396,42.7077725655,67.3279817721,92.9553278559,75.0611246944,57.5581395349,0,50.3086419753,50.0310376198,97.1943993982,97.9263867289,100,68.2926829268,#DIV/0!,100,38.2802115764,22.3212110732,0.7836431139,100,41.8626528692,95.6113229983,61.0119613391,47.9953760951,2.5946915814,99.6519721578,28.988596193,100,36.2068965517,93.7831908956,41.1261371093,78.6382392881,66.3370191306,34.0726846107,19.0247893648,0,90.54664,99.2870010055,28.8072575848,0,73.6917559959,0,97.6892117383,0,21305.7657823688,99.9569425831,22.2180457422,71.9086027138,3.2678097725,100,23.8619878664,2.9427570423,84.5346519202,8.1608900457,13.2561911222,55.7629995862
Campeche,2.7371300615,23.0460301169,62.6678076697,63.6566830577,85.632183908,70.0483091787,89.8089171975,66.4383561644,30.6329113924,100,74.4161159182,0.4356276681,100,55.2941176471,17.8412834576,31.2360832808,0.085163994,0,0,30.3607896528,54.6093832517,69.3602693603,57.543554007,18.4929849552,71.5972723141,79.2601430777,74.9413091724,49.4645556352,35.6805584069,66.6666666667,55.4945054945,41.8269230769,14.0703517588,11.314533827,72.1058688147,12.8153283729,93.2294477865,100,29.3109171188,100,96.511627907,0,72.8395061728,69.2570042766,97.037159117,38.3618455158,6.3271310151,43.9024390244,#DIV/0!,0,0,100,10.31537944,71.8025235011,35.3715898401,40.52231663,28.1295457069,0,0,99.1299303944,19.8770785318,49.0717489431,7.7586206897,7.2970366983,40.0790190474,40.1955998522,25.2219737225,0,9.7476051068,50.154441931,94.67545125,99.8751162657,44.1998810232,74.9967187295,71.484366174,26.855166057,79.597832137,0,44026.2291206211,99.7760715727,0.3693023281,0,1.6608287087,13.866558087,3.1793961341,100,0,21.9143112576,37.3408218765,6.5904042398
Chiapas,1.9973926662,0,100,55.5505885859,59.7701149425,33.3333333333,63.3757961783,58.2191780822,42.8481012658,38.3085672777,70.1808505968,1.528389588,100,75.2941176471,37.5426280869,0.2794346889,2.5153236224,2.2570215209,8.2821476316,27.9125045571,12.8467161884,19.1919191919,18.8466898955,16.4353905826,35.5797644024,1.7216541564,64.4138589965,9.4607463241,100,42.4242424242,0,66.3461538462,95.9798994975,4.5025658734,58.6075949367,1.6388908261,89.7810966553,78.56372039,18.6337495594,91.2795436023,45.9302325581,0,34.2283950617,27.8735840774,97.388941114,73.6132711249,6.7868526169,0,#DIV/0!,21.2404487121,59.6583878955,6.6040367262,9.9797349634,5.7527491109,0,2.8207596392,0,26.856496562,6.6683241409,99.535962877,74.759548234,3.9634871096,9.4827586207,4.1661396979,32.4918544438,2.3875319514,0,15.913660854,22.9109268332,78.6853347358,91.5172975,99.7251831778,63.6525877454,71.8729492059,90.4287662196,26.855166057,10.7378020037,34.538302281,6158.790223534,99.7090234091,0.5501331964,9.9619742416,0.6225190812,12.7783729443,0,15.459552637,66.5411891106,0.9643100025,2.176434568,3.0601510094
Chihuahua,13.9030322393,49.1893495807,55.5062309461,42.3334823424,58.0459770115,54.5893719807,79.6178343949,46.5753424658,4.1139240506,17.3620856992,6.8405363878,0,32.6865213178,92.9411764706,5.775686185,100,0.1772834023,39.5470736962,54.6040033241,76.6266760762,59.5146070298,81.8181818182,81.7142857143,100,82.3548618093,34.1198479751,73.1681974814,45.7566980635,0,43.75,87.9120879121,56.25,2.0100502513,17.2692525186,77.9516685846,18.3271977713,43.6528065774,52.4399751787,62.717258542,88.5085574572,44.7674418605,0,23.4567901235,12.9356151108,98.5064512569,69.1031622602,19.2278947672,53.6585365854,#DIV/0!,65.8435418024,39.1375272643,23.0984819699,37.5546563128,39.996264015,32.4553151458,46.7385979715,53.5284282532,27.6843051592,31.7083528234,90.6032482599,0.0018934236,14.7728948586,19.8275862069,0,53.1324272099,13.3748195,40.2488723807,27.1842571202,2.2736547778,59.4257801853,89.0976875,99.4997389947,12.745389649,84.3811523822,46.0310467459,26.855166057,81.4597312223,0,40996.8340088542,100,2.2842295857,13.27175806,100,41.3626937203,11.8836136493,27.7936485776,62.0554307547,19.1531737314,100,4.392581254
Coahuila,15.5656671754,65.4102345219,42.3650853078,71.9564893459,65.5172413793,58.9371980676,70.7006369427,45.2054794521,10.253164557,36.3725176787,75.6336422154,46.7724916432,0,92.9411764706,13.1960828985,6.5270140591,0.202071855,72.5710809828,22.7083860245,70.2845100105,57.5135000124,96.632996633,52.1567944251,95.1201091146,80.3236679446,57.573180517,79.5261445246,44.3661054203,27.9614042291,17.9487179487,92.8571428571,80.7692307692,45.2261306533,11.3045866245,92.2094361335,15.0197309867,100,97.4014723341,49.8150778876,97.6365118174,51.1627906977,100,49.3827160494,14.980227088,98.2584114315,0,14.6731874003,70.7317073171,#DIV/0!,47.5682328286,72.7846478915,57.4693948036,39.4860189711,46.7308561685,27.9397930386,40.8265634933,49.8516091813,20.665517312,37.4482029511,97.0417633411,0.015210191,7.2113208796,13.7931034483,25.9724371281,44.2832872866,33.7984321679,44.6107623822,19.1781980972,11.1466208855,62.0387248054,90.3074925,99.637691957,0,65.6254101588,73.1539308647,19.4785254292,82.059778976,45.4090283578,34180.6950073785,99.7876286573,6.5588068045,8.1514072866,31.0187802269,16.6099696769,27.4207109045,44.1155987202,49.939982847,29.7553359417,17.6637685425,9.5789275619
Colima,0,35.9746864964,73.878162272,100,63.7931034483,87.922705314,78.3439490446,84.2465753425,8.2278481013,64.0215555151,60.6935346651,17.0687348097,61.7637167241,95.2941176471,68.0182151255,0,0.8265278536,46.8163222322,2.9600390216,49.517601043,67.9098432054,100,75.1324041812,22.8071635662,76.3479099033,89.2778811485,54.8386694285,85.0413875459,27.509751591,38.8888888889,80.2197802198,48.0769230769,60.3015075377,31.8560229026,72.5316455696,9.6201695208,76.864700269,67.818687398,0,80.2770986145,66.8604651163,0,57.0987654321,28.2881972065,97.7746009967,73.0948678072,22.1816385482,56.0975609756,#DIV/0!,55.5954823405,73.0746981868,30.5295233609,29.2842561878,62.2493060802,33.2079021637,40.0258373457,47.3929879195,33.462830083,38.7534692888,95.5916473318,0.0012399073,17.3485283757,8.6206896552,10.5358551395,33.7987269003,100,57.6458636386,26.0187405183,100,15.5967408132,88.61235875,99.6874276302,36.3622843546,71.8729492059,81.6414721313,35.3362171634,50.6548167358,0,37967.4388970872,99.9749623002,1.8515877065,25.7842092143,1.0385742778,12.9924718224,21.8150665366,11.2983175527,72.8884478405,21.895588622,0.8832114477,19.3354403739
Distrito Federal,100,100,4.2199283307,0,52.8735632184,48.7922705314,80.2547770701,88.3561643836,85.7594936709,12.7912282232,52.4308512154,100,47.0219304361,77.6470588235,0.7057783114,6.3505794504,100,42.3067072416,31.4069443943,100,100,97.6430976431,93.8083623693,37.8851526514,82.0753607669,100,82.4668954794,96.2623558407,41.4699240402,58.3333333333,95.0549450549,71.1538461538,0,5.6274831333,99.9884925201,13.6084551333,58.3485026686,31.6225786942,17.868000399,0,52.3255813953,0,100,82.7629522936,97.8195048162,92.0165889062,50.1579141123,100,#DIV/0!,20.4783306771,45.8766413934,60.9162968005,0,75.1224116012,37.2530573848,100,100,100,100,97.8538283063,18.613308076,27.8195690258,100,59.9034387312,16.9187635366,19.0019786476,100,100,42.5578581153,100,94.91459875,99.2742948116,46.5496728138,81.2442577766,0,26.855166057,57.5200941534,66.0461808407,134908.08247363,99.6710109223,22.2735327574,10.8800533873,32.3703652229,68.9715494863,100,0,100,100,44.1240471925,100
Durango,3.8315495764,35.8906197825,58.105578435,68.5143793771,62.0689655172,65.7004830918,93.3121019108,87.6712328767,14.3037974684,34.4100810509,45.6949645619,0.1887674844,0,89.4117647059,3.7241784221,10.8152273318,0.2458504328,65.6613613014,21.5937420963,75.7287449393,31.2322754467,77.4410774411,39.2055749129,74.6323684509,48.2096000551,57.6477989979,73.2406645019,30.7632054491,51.9195237118,53.8461538462,84.0659340659,51.9230769231,16.0804020101,16.452566074,76.5362485616,13.7718725575,28.0581908696,39.0035140634,46.9028417814,40.1792991035,22.6744186047,0,42.5925925926,14.4510620799,97.5622100041,36.8584758942,3.8185941498,46.3414634146,#DIV/0!,32.8418007173,32.5897358673,14.9057617601,39.8901911573,29.7700493628,1.4111006585,23.3933894809,34.4700501641,23.2761503463,16.4954426956,99.8259860789,0.6364090181,9.2826293726,9.4827586207,35.1716472415,34.9741563462,70.7166640644,15.3993921691,26.661219363,2.2805936758,43.7433196828,87.88084875,99.1740973969,0,100,88.5225157949,40.2237986173,85.1238416708,0,69018.7387926987,99.7670714398,0.0581681104,5.0076040469,7.9694176501,11.3663655399,12.6898187994,25.2528309954,53.1464834671,5.4566358672,8.205858905,3.1322442733
Guanajuato,15.9257924031,1.767421458,70.2144729101,65.8620175831,56.8965517241,79.7101449275,65.923566879,80.1369863014,46.9620253165,41.90774529,86.1849117869,10.5862821776,61.7637167241,89.4117647059,0,0.0468258876,0.2427589629,70.013163265,30.2597824909,66.858974359,26.8902917902,83.8383838384,68.4355400697,50.7179925278,58.4506637708,20.2788553792,37.9907294669,68.2717051832,26.2574420037,60.4938271605,53.8461538462,49.0384615385,13.0653266332,4.5423756883,85.0402761795,100,93.7647973456,86.3063248819,36.5276556036,86.7155664222,36.0465116279,0,84.2592592593,9.0842876008,97.2921300408,44.0124416796,11.2326445378,26.8292682927,#DIV/0!,39.7148433659,37.4983213925,15.4823194131,26.8270438285,24.3412886557,16.462841016,9.4551047798,50.4719844271,43.7133487859,18.495063095,97.8538283063,0.0003761469,5.3528943081,17.2413793103,4.8572846385,27.8559996674,26.1984683589,27.5289719879,30.9071686471,9.188138859,69.9319206203,99.27552375,99.7752818851,46.6537775134,53.1303320646,76.8567960264,26.855166057,93.8970438948,0,24335.1608941358,99.6260719622,1.1375050045,9.2866193733,8.8210742973,19.3726627587,10.9805958703,28.9870843701,63.2410155605,7.5746844884,7.1154775354,13.1295632915
Guerrero,4.1470106171,16.6953192497,67.2300369043,61.6152585308,74.1379310345,49.2753623188,77.3885350318,47.9452054795,48.9873417722,21.8732640223,0,0.8672899315,100,97.6470588235,0.1468100616,2.1853009049,9.0323146133,22.7515286481,15.8317375438,41.4201183432,0,0,0,18.3445617401,41.884542709,26.8483808097,59.3763010157,68.5227725158,18.8051734757,0,6.5934065934,19.7115384615,68.8442211055,3.1052364503,38.8262370541,3.8399979566,95.677176843,64.1322450382,37.1089235147,74.2461287694,49.4186046512,0,55.6451612903,16.709050697,92.3141729424,38.6210471747,8.8936967122,17.0731707317,#DIV/0!,21.7337605543,88.8841155426,22.1792338623,15.0258681902,4.4129306866,8.3725305738,1.2988608188,27.811136351,29.3234437821,11.2624220816,98.6078886311,0.0024386165,12.4646367445,31.8965517241,98.626931872,9.8149624435,46.9081678908,11.3044388711,22.8756828368,8.8449809802,37.3450815391,86.66401,99.3494428726,0,93.7524609529,88.6583868052,9.5577401484,90.9566750481,30.0224565645,69018.7387926987,99.3953701962,0,39.2036491293,0,14.1427366596,12.7053785104,1.4303372228,84.1428771855,2.6359335374,0.6957107709,0
Hidalgo,4.1554338083,16.7298998488,81.7189923517,62.7626285203,63.7931034483,52.6570048309,60.5095541401,65.7534246575,24.5569620253,68.6796596803,93.9665228622,8.964986463,47.0219304361,87.0588235294,6.5454396386,2.2687720905,1.7687835289,45.6097600045,0.0153557105,21.3336833815,40.4795933039,65.3198653199,49,19.1616127718,50.86751142,30.7316200458,52.4929966352,58.1435394241,6.9184972285,21.2121212121,39.010989011,99.5192307692,16.5829145729,9.7442047793,59.2405063291,3.1724255657,85.2471074686,52.729289639,49.4289850194,62.7546862266,58.1395348837,0,27.7777777778,14.8141603747,96.8084952887,39.3468118196,6.0121159671,31.7073170732,#DIV/0!,40.3194151563,73.2551217479,19.2094776032,8.8113608726,29.2684870645,30.8560677328,6.9125414499,6.6134558619,29.0831779496,16.1596395306,100,0.7678812027,0,0,19.4135139945,22.7769500854,33.8843350639,7.6480861276,22.4880128195,13.4901227465,35.7371473439,87.88084875,99.6500351167,61.7638310529,65.6254101588,71.8877273815,1.6955088303,89.8230432395,33.7563514132,71290.7851265239,99.5296442832,8.7555139956,4.5655788881,5.4051382122,12.5105446304,11.5095169816,36.8783678095,52.1412597566,7.0200600254,12.2063462342,9.0298841412
